Metodo,N_Clusters,N_Rumore,Silhouette,Davies-Bouldin,Calinski-Harabasz
DBSCAN,2,0,0.3917630485683405,1.119216122567187,566.2536227407802
Spectral Clustering,2,0,0.3917630485683405,1.119216122567187,566.2536227407802
HDBSCAN,3,0,0.37368314332983976,1.0383471881588682,409.6287424095072
